Artist;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;Eigenvector_Centrality
Bad Bunny;0.04038461538461539;0.046588490252965374;0.21391277153409316;0.25594252207931467
J Balvin;0.035897435897435895;0.09818211227119844;0.2344266129909694;0.2162523393336425
Ozuna;0.029487179487179487;0.017412253130869876;0.20905602344174493;0.24995515613325933
Anuel AA;0.029487179487179487;0.03578543328265737;0.21569445000600648;0.25062344107313905
Daddy Yankee;0.026923076923076925;0.02635607259451799;0.2092671911421911;0.20376132701435415
Rauw Alejandro;0.026282051282051282;0.013445785774885761;0.2024671578116484;0.20087269125827467
Myke Towers;0.023717948717948717;0.007723795081347803;0.19665355408710888;0.1893002039930874
David Guetta;0.023717948717948717;0.044151554494441775;0.20045913810427599;0.05290922046265262
Drake;0.023076923076923078;0.01676580389684016;0.19402905102389997;0.010835700260789363
Farruko;0.022435897435897436;0.024972991477573214;0.20568331519560112;0.1922153955038392
Nicky Jam;0.021794871794871794;0.005304700209513109;0.2009939551111028;0.21552575819149108
KAROL G;0.020512820512820513;0.016206245863427737;0.204869734715223;0.16171941043586605
Sech;0.020512820512820513;0.0032088441214217214;0.2000719644913271;0.2134303948415832
Future;0.019230769230769232;0.05156940936933098;0.21784912642562482;0.027384982611900296
Young Thug;0.01858974358974359;0.021562332681914084;0.20182612686874743;0.011673752034644061
Travis Scott;0.01858974358974359;0.010674877759816133;0.19684039831902064;0.011121224086079396
Trippie Redd;0.017948717948717947;0.01846522202956659;0.18842612026445588;0.00586871698928031
Becky G;0.017948717948717947;0.025698367287185664;0.19887162873123995;0.1350901183087018
Lenny Tavárez;0.017948717948717947;0.0036308555174061007;0.18293555781966375;0.13979278830573208
Anitta;0.017948717948717947;0.07060283925868684;0.20172786682645494;0.06321468878548793
Feid;0.01730769230769231;0.011342907564860536;0.18693843377466204;0.11814620217472073
Kanye West;0.01730769230769231;0.024294868292846078;0.20079914633464427;0.01054301701114357
Justin Quiles;0.016666666666666666;0.007485007100962778;0.19815831585917668;0.14044235651857448
DJ Khaled;0.016666666666666666;0.009178675891679797;0.20041065947353734;0.013971493381629774
Chance the Rapper;0.016025641025641024;0.012339201381315282;0.18221153846153845;0.007230382191425435
The Weeknd;0.015384615384615385;0.018952644190116615;0.19954203634073606;0.019721361478469913
Pharrell Williams;0.015384615384615385;0.021202798021429943;0.20568331519560112;0.019447537913053006
Maluma;0.015384615384615385;0.013220739492771924;0.19868091031481105;0.13236326886231523
Dalex;0.015384615384615385;0.0023764634068834645;0.18109660771920386;0.13087393327691862
Sebastian Yatra;0.014743589743589743;0.00815004914069788;0.1749046173328571;0.06992576682198975
Duki;0.014743589743589743;0.009760294342617527;0.178637222876283;0.04872527657417006
Wisin;0.014743589743589743;0.0009018658011409686;0.18129470070511416;0.14839025424325739
21 Savage;0.014743589743589743;0.006584240362630584;0.19028658482734256;0.008458175997848882
Kygo;0.014102564102564103;0.02113871671122475;0.16775264715042043;0.0012693935782819852
Ty Dolla $ign;0.014102564102564103;0.01018346169896061;0.18689627355053604;0.006597340404369043
Logic;0.013461538461538462;0.013735101880543658;0.1787142714951643;0.0019408343258661574
Bizarrap;0.013461538461538462;0.012300588909182147;0.1830567874802467;0.050621059998762916
Chencho Corleone;0.013461538461538462;0.002111176098258571;0.1929448374675383;0.12980932935002717
Gun;0.013461538461538462;0.010936685096440094;0.19258612059564884;0.006400691844847894
Quavo;0.01282051282051282;0.006946577868990332;0.1889847381808613;0.01258854587081171
Tyler, The Creator;0.01282051282051282;0.011791682668230871;0.1804656090860359;0.005107619089990145
Lil Baby;0.01282051282051282;0.024159288320773006;0.1969807646596332;0.008326112874098195
Darell;0.01282051282051282;0.0013030370593213997;0.18265331208355234;0.13903488917326273
Arcangel;0.01282051282051282;0.0008868585743560177;0.1955860460049745;0.15072269102981448
Natti Natasha;0.01282051282051282;0.0073492354079749385;0.19763846337302096;0.12017696374164769
